,Geneid,_filesTien_Cont1_S25sorted,_filesTien_Cont2_S26sorted,_filesTien_Cont3_S27sorted,_filesTien_Zn1_S28sorted,_filesTien_Zn2_S29sorted,_filesTien_Zn3_S30sorted
82,ENSG00000207730,0,0,0,0,0,0
83,ENSG00000207607,0,0,0,0,0,0
84,ENSG00000198976,0,1,0,0,0,0
85,ENSG00000272141,0,0,4,3,2,0
86,ENSG00000205231,0,0,0,4,0,0
87,ENSG00000162571,2,1,0,0,0,2
88,ENSG00000186891,0,10,7,3,10,2
89,ENSG00000186827,0,0,2,2,2,0
90,ENSG000000788081,286,4164,6133,5113,4488,3088
91,ENSG00000176022,168,2272,3125,2520,2304,1538
92,ENSG00000184163,4,33,33,26,25,35
93,ENSG00000260179,1,3,15,16,12,3
94,ENSG000001600871,152,2013,2657,2475,2163,1620
95,ENSG00000230415,2,24,34,14,18,23
96,ENSG000001625721,21,177,188,219,135,91
97,ENSG000001315841,140,1510,2042,2306,1753,1322
98,ENSG00000169972,39,526,670,651,583,363
99,ENSG000001270541,245,3224,4348,3945,3289,2441
100,ENSG00000240731,5,83,100,110,95,69
101,ENSG00000224051,28,368,573,438,409,294
102,ENSG00000169962,3,33,26,32,31,28
103,ENSG000001074041,227,3649,4954,5206,4536,3186
104,ENSG000001625761,156,2233,3316,2702,2370,1486
105,ENSG00000175756,203,2876,3685,3197,2816,2000
106,ENSG00000223663,0,0,1,0,0,0
107,ENSG00000221978,445,6444,8753,7992,6997,5128
108,ENSG00000224870,66,956,1272,881,868,616
109,ENSG00000242485,128,1697,2297,2121,1769,1348
110,ENSG00000264293,0,0,0,0,0,0
111,ENSG00000272455,12,140,154,165,190,119
112,ENSG00000235098,4,42,46,74,53,28
113,ENSG00000225905,1,4,5,6,7,0
114,ENSG00000205116,1,38,34,27,33,16
115,ENSG00000225285,2,28,40,40,42,29
116,ENSG000001794031,95,730,1080,1004,1004,556
117,ENSG00000215915,3,57,94,114,96,72
118,ENSG000001600721,185,2347,2932,2994,2660,1842
119,ENSG00000197785,162,2154,3139,2772,2668,1739
120,ENSG00000205090,12,197,181,168,158,93
121,ENSG000001600751,384,5147,7521,6161,5649,3751
122,ENSG00000215791,0,0,0,0,0,0
123,ENSG00000215014,4,11,23,9,16,8
124,ENSG00000236684,0,0,0,0,0,0
125,ENSG00000228594,151,1711,2638,2182,1779,1263
126,ENSG00000272106,17,177,243,177,173,148
127,ENSG00000197530,149,1862,2463,2791,2136,1524
128,ENSG00000189409,2,46,67,96,57,41
129,ENSG00000248333,94,1360,1880,1971,1945,970
130,ENSG00000272004,0,0,1,0,0,0
131,ENSG00000189339,186,2393,3316,2398,2284,1473
132,ENSG00000269737,3,41,60,31,33,26
133,ENSG00000269227,0,14,14,18,17,8
134,ENSG00000215914,0,5,14,10,10,7
135,ENSG000000081281,5,60,63,114,62,54
136,ENSG00000268575,5,92,100,116,68,59
137,ENSG00000227775,17,169,232,206,159,87
138,ENSG00000215790,22,119,197,166,120,91
139,ENSG000000081301,158,2095,2821,2290,2213,1374
140,ENSG000000783691,1397,19456,28038,20938,19201,12965
141,ENSG00000231050,0,10,5,9,6,3
142,ENSG00000169885,7,78,107,150,103,63
143,ENSG00000178821,5,105,105,117,99,62
144,ENSG000001426091,0,8,10,9,6,12
145,ENSG00000233542,0,2,3,0,6,5
146,ENSG00000187730,4,29,62,62,72,22
147,ENSG00000226969,0,2,0,2,0,0
148,ENSG000000676061,43,571,755,594,536,428
149,ENSG00000271806,0,4,8,6,4,11
150,ENSG00000182873,22,230,356,267,261,156
151,ENSG000001625851,108,1203,1592,1506,1464,839
152,ENSG00000269554,0,0,0,0,0,0
153,ENSG00000203301,0,8,8,13,8,11
154,ENSG00000243558,0,0,0,0,0,0
155,ENSG00000234396,0,0,2,3,1,1
156,ENSG00000157933,454,5868,7842,6883,6229,4213
157,ENSG00000116151,26,329,354,280,214,157
158,ENSG00000272161,2,2,3,3,9,8
159,ENSG00000269753,1,5,9,16,7,6
160,ENSG00000269896,5,83,122,77,82,52
161,ENSG00000238240,0,0,0,0,0,0
162,ENSG00000272420,0,12,15,24,18,10
163,ENSG00000271921,0,14,19,21,24,13
164,ENSG00000271847,0,18,12,10,13,3
