Geneid	X_filesTien_Cont1_S25sorted	X_filesTien_Cont2_S26sorted	X_filesTien_Cont3_S27sorted	X_filesTien_Zn1_S28sorted	X_filesTien_Zn2_S29sorted	X_filesTien_Zn3_S30sorted
EMC1	154.0	2137.0	3037.0	2573.0	2421.0	1469.0
EMC2	67.0	1045.0	1396.0	1151.0	940.0	832.0
EMC3	75.0	1035.0	1450.0	1241.0	1232.0	792.0
EMC3-AS1	40.0	566.0	770.0	833.0	716.0	543.0
EMC4	113.0	1825.0	2465.0	2093.0	1956.0	1270.0
EMC6	18.0	122.0	177.0	148.0	137.0	101.0
EMC7	70.0	894.0	1300.0	1265.0	1109.0	928.0
EMC8	107.0	1626.0	2291.0	1992.0	1868.0	1249.0
EMC9	42.0	379.0	548.0	383.0	382.0	296.0
EMCN	0.0	0.0	0.0	1.0	0.0	0.0
EMCN-IT1	0.0	0.0	0.0	0.0	0.0	0.0
EMCN-IT2	0.0	0.0	0.0	0.0	0.0	0.0
EMCN-IT3	0.0	0.0	0.0	0.0	0.0	0.0
EMD	2.0	5.0	11.0	8.0	20.0	3.0
EME2	36.0	609.0	737.0	686.0	750.0	491.0
EMILIN1	9.0	180.0	238.0	204.0	205.0	92.0
EMILIN2	121.0	1715.0	2430.0	2087.0	1843.0	1195.0
EMILIN3	125.0	1399.0	1973.0	2135.0	1835.0	1272.0
EML3	56.0	732.0	1019.0	903.0	837.0	524.0
EML6	11.0	94.0	159.0	150.0	136.0	138.0
EMP1	6.0	31.0	77.0	147.0	139.0	98.0
EMP2	139.0	1737.0	2457.0	2004.0	1800.0	1218.0
EMP3	45.0	593.0	709.0	1041.0	949.0	633.0
EMR4P	0.0	0.0	0.0	0.0	0.0	0.0
EMX1	0.0	20.0	20.0	17.0	20.0	18.0
EMX2OS	0.0	7.0	3.0	1.0	3.0	5.0
EN1	0.0	69.0	67.0	31.0	28.0	30.0
EN2	0.0	1.0	0.0	4.0	0.0	0.0
ENAM	0.0	0.0	0.0	0.0	0.0	0.0
ENC1	298.0	4209.0	5823.0	4764.0	4367.0	2962.0
ENDOD1	35.0	477.0	638.0	743.0	590.0	426.0
ENDOG	19.0	383.0	506.0	470.0	443.0	267.0
ENDOU	0.0	2.0	1.0	8.0	4.0	0.0
ENG	26.0	338.0	494.0	448.0	436.0	290.0
ENHO	31.0	372.0	505.0	445.0	373.0	290.0
ENKD1	31.0	434.0	586.0	472.0	348.0	333.0
ENO1	3639.0	49409.0	69150.0	58669.0	53259.0	35114.0
ENO1-AS1	1.0	8.0	5.0	4.0	1.0	4.0
ENO1-IT1	1.0	15.0	15.0	21.0	21.0	3.0
ENO1P1	0.0	0.0	0.0	0.0	0.0	0.0
ENO1P2	0.0	3.0	5.0	9.0	3.0	2.0
ENO1P3	0.0	1.0	7.0	4.0	2.0	2.0
ENO1P4	0.0	0.0	0.0	0.0	0.0	0.0
ENO2	5.0	11.0	698.0	28.0	33.0	20.0
ENO4	4.0	36.0	50.0	43.0	21.0	27.0
ENOX1	11.0	162.0	285.0	167.0	167.0	127.0
ENOX1-AS1	0.0	1.0	2.0	3.0	6.0	3.0
ENOX1-AS2	0.0	0.0	0.0	0.0	0.0	0.0
ENPEP	4.0	49.0	83.0	78.0	57.0	20.0
ENPP1	231.0	3110.0	4184.0	2648.0	2322.0	1722.0
ENPP2	41.0	554.0	812.0	551.0	501.0	320.0
ENPP4	16.0	219.0	334.0	264.0	207.0	135.0
