gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG0000014667410,59.7803161757208,0.0593348767332194,0.154198860747832,0.387473560264326,0.636839805646074
ENSG000001671037,48.2250324654681,-0.0546485900470096,0.157080881092088,0.387526654289211,0.636839805646074
ENSG000001978579,606.246551681197,0.0637603129616544,0.0872209684398627,0.387508549438592,0.636839805646074
ENSG0000007357812,1969.24148697311,0.0455016002717894,0.0543410875613801,0.387634672838777,0.636840938624795
ENSG000001667885,892.450048427038,0.057421383752532,0.0751221861124106,0.387695231666594,0.636840938624795
ENSG000001405349,1789.03020889119,-0.0466756910919467,0.0580160673979749,0.38766294081764,0.636840938624795
ENSG000001863007,318.526110636708,-0.070967823087829,0.111779812662107,0.387608307185956,0.636840938624795
ENSG000001290838,2668.44579359791,0.0411325584904163,0.0500894889516944,0.387782198171648,0.636914840101583
ENSG0000014314710,589.038788021947,-0.0627012323440442,0.0860156813704787,0.38785409328375,0.636963974174081
ENSG000002719121,50.7155348185949,-0.0558049442864247,0.156301132612929,0.388204095205925,0.637469776683929
ENSG000001116679,42.7642410354028,-0.0498891870277606,0.158292890969422,0.388389132969875,0.637704611465416
ENSG000001969686,262.66858754869,-0.0721885629316453,0.115515759153401,0.388678036863426,0.63804087994469
ENSG000001622418,95.617781246771,0.0642053503155242,0.151605553185134,0.388651940768688,0.63804087994469
ENSG0000019669310,839.231976300562,0.0598226976664784,0.0795489421627252,0.388990103839044,0.638205468892181
ENSG0000016724413,91.2758528146134,-0.0648666696623189,0.150582997351913,0.389098860563209,0.638205468892181
ENSG000001100746,1425.06784149655,0.0511061523373678,0.0646612416201399,0.389156857456697,0.638205468892181
ENSG000002060443,65.9593717250829,-0.0586786526940106,0.153740994466722,0.388948232321224,0.638205468892181
ENSG0000016698710,1996.48480648301,-0.0462409829136166,0.0577175527673048,0.389143896993884,0.638205468892181
ENSG000001975665,102.513428163928,0.066678433283801,0.149213179732384,0.389092102258852,0.638205468892181
ENSG000002634121,43.0079315900483,0.0528404764058756,0.157845825725143,0.38914370270253,0.638205468892181
ENSG000001971347,930.600830314039,-0.0592336625533281,0.0792822340764744,0.388957574536525,0.638205468892181
ENSG000002040705,320.698301271477,-0.0715142553072372,0.109432228360904,0.388954374551116,0.638205468892181
ENSG000001685466,121.274315003763,-0.0703834961875335,0.140165949413199,0.389267983721577,0.63831872009159
ENSG000002275331,155.150063033086,0.0713361813102444,0.136741554565438,0.389395358656365,0.63832063276718
ENSG000001148502,3734.27730301061,0.0364065067080192,0.0439838146657833,0.389345824432824,0.63832063276718
ENSG0000011155410,427.866095796385,-0.0684455543246044,0.103274031912877,0.389354521838003,0.63832063276718
ENSG000001508679,1158.51346394419,-0.0518224521726617,0.0664047392604756,0.389571034436539,0.638475613551491
ENSG000002049545,301.053391965432,0.0711600702847389,0.1099968050947,0.38957406117839,0.638475613551491
ENSG000001006039,2240.71959445832,0.044446722962351,0.0546203936394924,0.389771223430575,0.638729751929162
ENSG0000007565111,198.725950425752,0.0716898663047628,0.129161077933369,0.389835097010482,0.638765434874735
ENSG0000011740712,189.292736734916,0.0719761929743305,0.135264707058403,0.390003935857261,0.638973082686775
ENSG0000018609412,39.623065225281,-0.0529545709448431,0.156897744683008,0.390234197978929,0.639074310408449
ENSG000002515931,194.67170961185,-0.071526666185751,0.129396548776548,0.390171040658229,0.639074310408449
ENSG000002194513,37.2647556563077,0.0476120187116906,0.159374891446761,0.390170231587003,0.639074310408449
ENSG000001057225,2065.80363347807,0.0448753370221357,0.0556167383669339,0.390224959960114,0.639074310408449
ENSG0000016799511,62.8694744386579,-0.060514720584359,0.153464992879076,0.390350873534849,0.639196395871386
ENSG0000015806216,668.639807640749,0.0610767612340183,0.08268175225868,0.390457514301613,0.639233045370995
ENSG000002052464,1484.14982073616,0.0526858115168514,0.0674187782615453,0.390436586562683,0.639233045370995
