"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"BARD1",1390.97167876205,-0.177857998232268,0.0653654016506614,0.00314997565659315,0.0236068327683478
"BARX1",1092.83453276174,-0.192932150602478,0.0751306522326958,0.0043014864829759,0.0300630137604745
"BASP1",4619.50632955611,0.0737718234379665,0.046454742097088,0.0980714667919916,0.302691098421533
"BATF2",35.8618696887401,0.0600169696484531,0.166590554581697,0.358062528937591,0.643664996176526
"BATF3",71.6436802121756,0.763946915315814,0.316485793326076,0.000747312304496875,0.00714451763448076
"BAZ1A",1510.44378136158,0.13320578165077,0.0646326123557011,0.0254661730484831,0.121169216377258
"BAZ1B",341.071054519233,-0.118473420325838,0.214677767632852,0.0696678314538694,0.242593836477637
"BAZ2A",8622.225334807,-0.227513689304506,0.0388647997100146,1.89087071690043e-09,6.10513467396834e-08
"BBIP1",289.533737580307,-0.115152156033429,0.120691439353126,0.200248740260066,0.466310173820892
"BBOX1",10.0153813820024,-0.00384064618235097,0.163321255130625,0.917239386480781,NA
"BBS10",437.03860208415,0.0104124455535827,0.15195159321265,0.87578343667516,0.953005823507549
"BBS12",59.4775514170182,0.0201472028562835,0.148971858841777,0.77840270477805,0.912371278078732
"BBS2",785.736552304249,-0.0515787713104172,0.0866949755180991,0.485971972705571,0.740563699610227
"BBS4",1586.5878651526,-0.188117243288684,0.0673319504142023,0.0024240348085417,0.0190114846365918
"BBS5",88.0984117569214,0.0453289022581985,0.144428254225237,0.572923248742168,0.798988524860963
"BBS7",631.376186734414,0.104463803667876,0.0889674498622384,0.168844233494441,0.422365162144294
"BCAM",1518.22480195175,0.187734672311731,0.072724280146708,0.0045501460031257,0.0313635928478917
"BCAP29",1062.2037476625,0.0259103977690754,0.0720415541845356,0.6902470888384,0.868466294018586
"BCAS1",68.2653783272017,-0.216210978986655,0.258701894964683,0.0535110655667251,0.202842164392219
"BCAS2",1295.89922683665,0.265668007518982,0.0699104090896561,3.96049017526321e-05,0.000564946111772995
"BCAS2P2",14.0361266940268,-0.0179851524864652,0.163978776192407,0.646766164482653,NA
"BCDIN3D",76.7886438975563,-0.108693786024552,0.174639593803614,0.201104369095811,0.467772373634473
"BCDIN3D-AS1",31.8841066613292,-0.0373992692342388,0.160103351703645,0.535349021117148,0.774510845683837
"BCKDHA",57.8728305638709,-0.115077906100935,0.188504939093271,0.158560849620242,0.405218324557204
"BCKDK",888.106403994293,-0.0773844850035066,0.0765633058154695,0.255956430928765,0.536656027392122
"BCL10",714.550817141254,-0.0282111460818632,0.0795457033366242,0.685567585154585,0.865932168395321
"BCL2L1",982.929764024902,0.337321930148622,0.0890022189286452,2.54795717468439e-05,0.000383759359941291
"BCL2L12",947.809380045105,0.0471105643788306,0.07485484513263,0.48149251023261,0.737849673162365
"BCL2L14",138.721770420117,-0.0870426703052285,0.14380611657185,0.325514879003347,0.615851307924928
"BCL2L15",11.0234102840709,0.00543739547082868,0.16501191729668,0.855157053963817,NA
"BCL2L2",885.316022368339,0.0712460438954181,0.0762073910600846,0.294270356905624,0.582023137072915
"BCL2L2-PABPN1",9.46564680333756,0.0151897856171876,0.165185973141966,0.664334174170158,NA
"BCL3",163.07639792049,0.0804882256137764,0.134340136464778,0.365006641687744,0.649260972774059
"BCL6B",26.6197136460014,-0.0637209731314614,0.175500569729344,0.213780265460703,0.484024014849512
"BCL7A",694.135315307895,0.176109512113854,0.0881704354554496,0.0209921654698322,0.104274303282667
"BCL7B",218.415699409665,0.024695379374896,0.168377216214553,0.365462638953857,0.649867784889449
"BCL7C",219.734116103014,0.209097395001161,0.177081378593035,0.0602828407566962,0.220893698511795
"BCL9",92.4749119700343,-0.0724694239236503,0.160555901229239,0.352874725080309,0.63881165607958
"BCL9L",3603.84554520633,0.247825349422479,0.0498266528059468,2.12691469343498e-07,5.21287455772791e-06
"BCMO1",21.5284344694376,0.0816144826657407,0.185227115973465,0.149364744767199,NA
"BCRP3",200.279526964611,0.0379969332288502,0.125608518912866,0.655333247029356,0.849400975479807
"BCS1L",592.493638752902,0.189386706557289,0.100792397175018,0.0235965833435961,0.113462418734282
"BCYRN1",1522.96808797304,0.0292216068554236,0.0803818833900748,0.679112247699294,0.862438658353471
"BDH1",770.351120275372,-0.0895462733086309,0.0818737804149243,0.216819920993254,0.487935314689326
"BDKRB2",27.1323361555702,-0.016845633383975,0.158162978568137,0.762203680205672,0.904246918299006
"BDNF-AS",36.3166308100233,0.0226774002217555,0.156087479967005,0.710783831802025,0.879730614272126
"BEAN1",19.8007637348899,-0.0106738999844109,0.160071256542813,0.827370566394094,NA
"BECN1",585.799659221983,0.00355525701401078,0.0920313061439814,0.964442722522932,0.987351619196326
"BEND3P3",19.308775449743,0.00754854166919682,0.161282433353462,0.872660776523313,NA
"BEND5",160.217520662241,-0.0534225690255875,0.135354932064449,0.519188477756158,0.763108701665859
"BEST4",39.8453176794766,0.0140261406671921,0.155060915533945,0.818433561423085,0.932691628019988
"BET1",483.54998811244,-0.0460046005212007,0.0918510229565363,0.550032544744694,0.783870881792888
"BEX1",2862.2829186344,0.21981382382558,0.0568329696927225,4.00840452627957e-05,0.000570272221786265
"BEX2",1498.80021465514,-0.0447683408165695,0.0649315897004473,0.453631340681683,0.717280690801384
"BEX4",3676.60849050869,-0.00727576741752567,0.0520641376254708,0.882847285313885,0.956009756138205
