Geneid	_filesTien_Cont1_S25sorted	_filesTien_Cont2_S26sorted	_filesTien_Cont3_S27sorted	_filesTien_Zn1_S28sorted	_filesTien_Zn2_S29sorted	_filesTien_Zn3_S30sorted
ENSG000001973127	187	2247	3257	2752	2441	1774
ENSG000002156951	0	0	0	0	0	0
ENSG000002717421	1	0	0	2	0	0
ENSG000001167867	165	2293	3282	3164	2775	1831
ENSG000002640481	0	0	0	0	0	0
ENSG000002379381	0	19	11	29	18	8
ENSG000001624617	16	205	293	240	196	148
ENSG000002244591	0	0	0	0	0	0
ENSG000001624606	0	5	7	1	0	0
ENSG000001624588	152	1974	2784	2214	1747	1343
ENSG000002243211	0	5	15	6	13	19
ENSG000002339544	75	1089	1465	1450	1470	1085
ENSG000001787157	20	239	327	350	313	241
ENSG000001797432	27	259	388	267	293	149
ENSG000000655266	311	4219	6156	4558	4328	3078
ENSG000002388181	0	0	2	0	0	0
ENSG000002706201	0	0	1	0	0	0
ENSG000001168097	81	1139	1650	1189	1091	791
ENSG000002346072	0	0	0	0	0	0
ENSG000002313531	0	0	0	0	0	0
ENSG000002249664	0	0	0	0	0	1
ENSG000001838884	0	0	1	4	0	1
ENSG000002330781	0	0	0	0	0	0
ENSG0000017364113	2	8	16	3	10	6
ENSG000001865107	1	25	12	14	19	7
ENSG000002324561	0	1	0	5	4	2
ENSG0000018490813	5	47	54	44	52	24
ENSG000001855198	0	10	8	16	14	9
ENSG000001426279	86	1152	1646	2828	2587	1621
ENSG000002279591	0	3	7	9	6	3
ENSG000002246211	0	1	4	3	6	0
ENSG000002341661	0	0	0	0	0	0
ENSG0000014263212	10	105	145	100	127	92
ENSG000002372764	0	1	9	4	1	0
ENSG000002043773	3	16	25	24	18	13
ENSG000001328817	2	69	97	71	66	44
ENSG000002339291	1	10	10	11	10	12
ENSG000000376376	60	804	1174	1031	945	600
ENSG0000005507012	276	3688	5061	4587	4310	2752
ENSG000002264571	0	0	3	5	2	0
ENSG000001871447	0	6	4	0	12	5
ENSG0000015719115	85	1218	1476	1347	1156	731
ENSG000002260291	0	36	40	28	18	30
ENSG0000008094710	17	281	439	407	304	240
ENSG000002066521	0	2	2	2	6	0
ENSG000002611351	0	0	13	4	7	2
ENSG000002241742	0	3	2	2	6	3
ENSG000002334213	1	16	16	10	7	13
ENSG000002686741	0	0	0	0	0	0
ENSG000002257101	0	0	0	0	1	5
ENSG000002665841	0	0	0	0	0	0
ENSG000002194816	132	1650	2304	1896	1634	1117
ENSG000002717321	0	1	3	0	0	1
ENSG000002159085	75	1036	1296	1325	1034	778
ENSG000001863017	7	49	71	74	49	48
ENSG000002075131	0	0	0	0	0	0
ENSG000002378472	0	0	0	0	0	0
ENSG000002647421	0	0	0	1	0	0
ENSG000002366981	28	494	691	532	475	358
ENSG000002688691	14	117	153	131	137	98
ENSG000002689911	0	0	0	0	0	0
ENSG0000005845312	365	4329	6060	5614	4836	3405
ENSG000002073891	0	0	2	0	0	2
ENSG000002276841	0	5	6	1	0	0
ENSG000001867156	7	25	33	29	35	37
ENSG000002236432	0	0	0	0	0	0
ENSG000002302391	2	12	21	16	6	8
ENSG000002638111	0	0	0	0	0	0
ENSG000002285492	3	57	67	38	31	12
ENSG000002381421	2	34	48	42	21	25
ENSG000002352411	1	31	49	42	38	22
ENSG000002070051	0	2	6	3	2	0
ENSG000002724261	0	4	3	10	4	1
ENSG000001171229	232	2847	4248	3348	3002	1934
ENSG000002265261	0	2	1	2	2	0
ENSG0000015936313	191	2583	3931	3329	2871	2002
ENSG000001171185	114	1528	2163	2246	1923	1438
ENSG000001171158	15	146	200	277	248	153
ENSG000002521801	0	0	0	0	0	0
ENSG000002043625	0	0	6	1	6	3
ENSG000001426238	0	13	9	20	37	17
ENSG000001426194	3	35	44	88	95	35
ENSG000002666341	0	0	0	0	0	0
ENSG000001593399	0	6	7	8	10	9
ENSG000002694681	0	0	0	0	0	0
ENSG000002560492	0	7	4	0	0	0
ENSG000002277511	0	0	0	0	0	0
ENSG000001790519	1585	20948	29391	21015	19055	12551
ENSG000002667271	0	0	0	0	0	0
ENSG000002390201	0	1	5	0	1	2
ENSG0000007496412	159	2271	3111	1811	1765	1072
ENSG000002366481	0	0	0	0	0	0
ENSG000001171486	4	38	56	31	28	19
ENSG000002617811	0	0	0	0	0	0
ENSG000001171547	36	402	603	362	375	257
ENSG000002300352	0	0	0	0	0	0
ENSG000002253871	2	20	24	11	8	10
ENSG000001790237	28	298	471	726	704	433
ENSG000002352822	0	0	0	0	0	0
